,headlines,categories
158,مسلم لیگ(ن) والے بتائیں کہ بزدار کو برقرار رکھ کر عمران خان کی حکومت کو کیوں مضبوط کر رہے ہیں ، پلوشہ خان ,"['بینظیر بھٹو', 'مریم نواز شریف', 'یوسف رضا گیلانی', 'جمہوریت', 'پاکستان', 'شہید', 'سینیٹ', 'پیپلز پارٹی', 'پنجاب']"
159,حکومت کے ایک ارب درخت سونامی کے اقدام کو عالمی اقتصادی فورم اور بین الاقوامی پذیرائی ملی،ترجمان دفتر خارجہ ,"['اقوام متحدہ', 'دفتر خارجہ', 'پاکستان', 'امریکہ', 'دنیا', 'سونامی']"
160,ہوٹلوں، شادی ہالز کے عملے کو وکلاء یونیفارم پہننے سے روکا جائے، اسلام آباد بار کونسل کا چیف کمشنر کو خط,"['ہوٹل', 'شادی']"
161,پاکستان تحریک انصاف کی سینئرممبرطیبہ بتول کی زیرِ قیادت میپ ہسپتال میں فری ڈینٹل کیمپ کا انعقاد,"['پاکستان تحریک انصاف', 'علاج', 'ڈاکٹر', 'کار', 'میرا', 'پاکستان', 'غریب']"
162,صوبائی وزیر اقلیتی امور اعجازعالم آگسٹین نے سماج سیوہ فائونڈیشن کا افتتاح کردیا,"['پاکستان تحریک انصاف', 'کرونا وائرس', 'محمد علی جناح', 'موسم', 'پاکستان', 'لاہور', 'حکومت پنجاب', 'پنجاب', 'قائداعظم']"
163,عمدہ کارکردگی پر محکمہ آرکیالوجی کے افسروں میں تعریفی اسناد تقسیم,[]
164,برائلر مرغی کے گوشت کی قیمت میں مزید 6 روپے کا اضافہ ,['گاڑی']
165,عوام اپنے بچوں کوپولیو جیسے مہلک مر ض سے بچاؤ کیلئے مقررہ وقت پر پولیوخاتمہ کے قطرے پلائیں ،ڈپٹی کمشنر اٹک,"['کار', 'پولیو']"
166,کورونا،احتیاطی تدابیر اور حکومتی احکامات پر سختی سے عملدرآمد کو یقینی بنائیں،محمود خان,['کرونا وائرس']
167,صوبے میں جنگلات اور جنگلی حیات کے تحفظ کو یقینی بنایا جائے،وزیر اعلیٰ خیبر پختونخوا,"['اسمبلی', 'ڈاکٹر', 'کار', 'وزیر اعلیٰ', 'خیبرپختونخوا', 'صوبائی اسمبلی', 'پشاور', 'پنجاب']"
168,پشاور میںشہریوں نے اپنی مدد آپ کے تحت گلی کوچوں کی تعمیر اور ڈرین بنانے کا کام شروع کردیا ,"['پشاور', 'ووٹ']"
169,اسسٹنٹ کمشنر نے بنوں آنے والی گاڑیوں میں دودھ کا ٹیسٹ کیا,"['جرمانہ', 'بنوں', 'پنجاب', 'پانی']"
170,سٹی ٹریفک پولیس کا شہر میں تجاوزات کیخلاف کارروائیاں، 148 افراد گرفتار ,"['پولیس', 'سڑک', 'پشاور', 'ٹریفک']"
171,کراچی، عمیر ثنائ فائونڈیشن کے تحت کل بلڈڈونیشن ایونٹ منعقد ہوگا,"['ارطغرل غازی', 'ڈاکٹر', 'رمضان المبارک', 'سانحہ گلشن اقبال لاہور', 'پاکستان', 'کراچی']"
172,وزیراعلیٰ عثمان بزدارکا سینئرصحافی وکالم نگار سہیل عبدالناصر کے انتقال پراظہارتعزیت ,"['پنجاب', 'وزیراعلیٰ پنجاب']"
173,وزیراعلیٰ عثمان بزدارکا سینئرصحافی ،کالم نگار اوراینکرپرسن سلیم بخاری کی اہلیہ کے انتقال پراظہار افسوس,"['عثمان بزدار', 'پنجاب', 'وزیراعلیٰ پنجاب']"
174,وزیراعلیٰ پنجاب کا ملتان میں کورونا ویکسینیشن سنٹر کا اچانک دورہ ، این سی او سی کی ویڈیولنک میٹنگ کے بعد محلہ امیرآباد میںسنٹرپہنچے,"['کرونا وائرس', 'ڈاکٹر', 'ملتان', 'عثمان بزدار', 'وزیراعلیٰ پنجاب', 'پنجاب']"
175,کورونا ایس او پیز پر عمل درآمد کے لیے پنجاب پولیس کمشنرز اور ڈپٹی کمشنر زکی ہر ممکن معاونت کریں:آئی جی پنجاب,"['پولیس', 'کرونا وائرس', 'پنجاب']"
