,headlines,categories,time
39,نوازشریف کے بارے جو بات کرے گا اس کی زبان کھینچ لیں گے، مریم نواز ,"['سی پیک', 'قتل', 'قومی اسمبلی', 'شہباز شریف', 'مریم نواز شریف', 'سپریم کورٹ', 'نریندرا مودی', 'اسمبلی', 'پاکستان تحریک انصاف', 'جسٹس شوکت عزیز صدیقی', 'سردار ایاز صادق', 'میاں نواز شریف', 'ضرب عضب', 'غریب', 'دنیا', 'صوبائی اسمبلی', 'پاکستان', 'پنجاب', 'رائے ونڈ', 'دھمکی', 'ووٹ', 'عدالت', 'الیکشن', 'حملہ', 'لانگ مارچ', 'شوکت عزیز', 'بجلی', 'مہنگائی', 'عام انتخابات 2018', 'پیپلز پارٹی', 'قاضی فائز عیسیٰ کیخلاف ریفرنس خارج', 'پانامہ کا ہنگامہ', 'خواجہ آصف', 'میرا', 'یوسف رضا گیلانی', 'جیل', 'مسلم لیگ (ن)', 'الیکشن کمیشن']",2021-03-21T21:15:15+0500
40,بنوں ،جانی خیل سے دو ہفتے قبل لاپتہ ہونیوالے چار نوجوانوں کی لاشیں بر آمد ,"['پولیس', 'قتل', 'عید']",2021-03-21T21:15:09+0500
41,پبی،یوم پاکستان میں امن وامان کی صورتحال برقرار رکھنے کیلئے سرچ ایند سٹرائیک آپریشنز ،10 اشتہاری اور 138 مشتبہ گرفتار،اسلحہ برآمد,"['ڈاکٹر', 'پولیس', 'پاکستان', 'اسلحہ', 'یوم پاکستان']",2021-03-21T21:15:08+0500
42,ڈسٹرکٹ ہیلتھ اتھارٹی جہلم میں مزید 9 افراد کی رپورٹ مثبت موصول ہوئی,"['علاج', 'کرونا وائرس']",2021-03-21T21:15:07+0500
43,فیصل آباد،کورونا ایس اوپیز کی خلاف ورزی پرچھ روز میں 413نجی سکولز، شاپنگ مالز،ریسٹورنٹس اور میرج ہالز سیل،2لاکھ 66ہزار جرمانہ ,"['جرمانہ', 'شادی', 'کرونا وائرس']",2021-03-21T21:15:07+0500
44,بہاولنگر،سیشن کورٹ کے سامنے دن دیہاڑے ڈکیتی ،مسلح ڈاکو لیبارٹری سے لاکھوں روپے نقدی اور طلائی زیور چھین کر فرار ,"['پولیس', 'عدالت', 'ریاض', 'ڈکیتی']",2021-03-21T21:15:07+0500
45,آئی جی خیبر پختونخوا ڈاکٹر ثناء اللہ عباسی کاتھانہ نوشہرہ کینٹ اور نوشہرہ کلاں کا اچانک دورہ ,"['پولیس', 'تھانہ', 'ڈاکٹر']",2021-03-21T21:15:07+0500
46,وزیر اعلی گلگت بلتستان خالدخورشید اور صوبائی وزرا نے یونیورسٹی آف بلتستان کے پروجیکٹ سائٹ پرپودا لگا کر شجر کاری مہم کا افتتاح کیا,['ڈاکٹر'],2021-03-21T21:15:06+0500
47,پاکستان سرسبز مستقبل کی جانب گامزن ہے،راجہ یاور کمال,"['ڈاکٹر', 'پاکستان', 'اسمبلی', 'صوبائی اسمبلی']",2021-03-21T21:15:06+0500
48,مریم کا کارکنوں کو 26 مارچ کو نیب میں لے جانے کا نعرہ بے عقلی کی دلیل ہے ‘راجہ بشارت ,"['کھیل', 'غریب', 'وزیر قانون', 'کیپٹن صفدر', 'مریم نواز شریف', 'راجہ بشارت', 'کرپشن', 'پنجاب']",2021-03-21T21:15:05+0500
49,ہر بنس پور ہ ‘ ٹرین کی خالی بوگیوں میں آگ لگ گئی ,['نقصان'],2021-03-21T21:15:05+0500
50,"بیگم صفدر اعوان کی تقاریر ""شیر آیا شیر آیا"" کی گردان دہرانے والے چرواہے کی طرح ہیں‘ فیاض الحسن چوہان","['خواجہ آصف', 'جمہوریت', 'جیل', 'کرپشن', 'پاکستان', 'پنجاب', 'میاں نواز شریف']",2021-03-21T21:15:05+0500
51,سابق چیئرمین ایف بی آر شبر زیدی نے خاموشی توڑ دی,"['فواد چوہدری', 'پانی', 'بجلی', 'ٹیکنالوجی', 'ایف سی', 'ایف بی آر', 'سینیٹ']",2021-03-21T21:15:05+0500
