,headlines,categories
33,کراچی، پولیس اہلکار کے قتل میں ملوث مزید2 ملزمان گرفتار ,"['پولیس', 'رینجرز', 'قتل', 'ڈکیتی']"
34,صوبہ بھر میں پارٹی کی مزید فعالیت، تمام ڈویژنز کیلئے کمیٹیاں تشکیل ,"['اے این پی', 'طوفان', 'سوات', 'خیبرپختونخوا', 'پشاور']"
35,پشاور، ملگری استاذان خیبر پختونخوا کابینہ کی حلف برداری کی تقریب کل منعقد ہوگی ,"['پنجاب', 'پشاور', 'امیر حیدر خان ہوتی', 'چارسدہ یونیورسٹی حملہ']"
36,کوئٹہ ، ہمارے اسلاف کی قربانیوں کو تب ہی ہم خراج تحسین پیش کر سکتے ہیں جب ہم ملک کو ہر شعبے میں آگے لے جانے کیلئے انتھک محنت کریں،صوبائی وزیرظہور احمد بلیدی ,"['کار', 'یوم پاکستان', 'محمد علی جناح', 'پاکستان', 'قائداعظم']"
37,خاران،ڈپٹی کمشنر عبدالسلام اچکزئی کا یوم پاکستان کے سلسلے میں اسپورٹس ڈیپارٹمنٹ کے زیر اہتمام اسپورٹس فیسٹیول کا افتتاح ,"['کار', 'یوم پاکستان', 'شہید', 'کھیل', 'پاکستان', 'فٹبال']"
38,کوئٹہ ،سیاسی وقبائلی رہنما سردار کمال خان بنگلزئی کا سریاب روڈ توسیعی منصوبے کے متاثرین کو مارکیٹ ریٹ کے مطابق معاوضوں کی ادائیگی کا مطالبہ ,"['قومی اسمبلی', 'اسمبلی', 'غریب', 'بلوچستان']"
39,کوئٹہ ،مدارس ومساجد تعلیم امن دعوت وتبلیغ اطمینان کے کومراکزا ہیں اسلام دشمن قوتیں مدارس ومساجد کے خلاف سازشیں کر رہی ہے ،مولانا عبدالحق ہاشمی ,"['جہاد', 'بنک', 'بلوچستان', 'نقصان', 'تعلیم', 'پاکستان', 'سندھ', 'جماعت اسلامی']"
40,کوئٹہ ، بلوچستان کے درودیوار حکمرانوں کی غفلت وکوتاہی اور ان کے لوٹ مار کے گواہ ہیں،ہدایت الرحمان بلوچ ,"['امریکہ', 'بنک', 'بلوچستان', 'مہنگائی', 'جماعت اسلامی']"
41,کوئٹہ،حکمراں بے حسی کی تصویر بنے مغربی استعماری قوتوں کے ایجنٹ کا کردار ادا کررہے ہیں جس سے عوام میں سخت تشویش پائی جاتی ہے، مولاناعبدالکبیر شاکر ,"['جماعت اسلامی', 'پاکستان', 'بلوچستان']"
42,جعفرآباد،کہ اگر آج ہم نے پانی کی قدر نہ کی تو ہماری آئندہ نسلیں پانی کی ایک ایک بوند کے لئے ترسیں گی، لعل محمدشاہین,['پانی']
43,کمشنر آفس راولپنڈی کو یوم پاکستان کے حوالے سے روشنیوں سے سجادیا گیا ,"['یوم پاکستان', 'پاکستان', 'دنیا']"
44,راولپنڈی، دنیا کے تمام چرند پرند اور نباتات کیلئے پانی اہم ترین جزو ہے، عامر صدیقی,"['پانی', 'قلت', 'پیپلز پارٹی', 'بجلی', 'محمد علی جناح', 'بھارت', 'پنجاب', 'پاکستان', 'دنیا', 'سندھ', 'مسئلہ کشمیر']"
45,کوئٹہ، 23 مارچ محض ایک قرارداد پیش کرنے کا دن نہیں ہے بلکہ ایک نئی مسلم مملکت وطن عزیز پاکستان کی بنیاد رکھنے کا دن ہے،صوبائی وزیر سلیم احمد کھوسہ,"['کار', 'یوم پاکستان', 'ٹیکنالوجی', 'بلوچستان', 'محمد علی جناح', 'تعلیم', 'پاکستان', 'دنیا', 'قرارداد']"
46,کراچی، دائود یونیورسٹی آف انجینئرنگ اینڈ ٹیکنالوجی کا آٹھواں جلسہ،اسناد تقسیم کردی گئیں,"['ٹیکنالوجی', 'محمد علی جناح', 'سوئی گیس', 'تعلیم', 'سندھ', 'جلسہ']"
47,لسبیلہ ،ٹریکٹر الٹ جانے سے 2 بچیاں جاں بحق، تین زخمی ,"['کراچی', 'جاں بحق', 'زخمی', 'بلوچستان']"
48,پاکستان میں احتساب کا عمل توقع کے مطابق نہیں ہو رہا، سینیٹر شبلی فراز,"['آصف علی زرداری', 'مولانا فضل الرحمن', 'غریب', 'وزیراعظم', 'عدالت', 'میاں نواز شریف', 'مریم نواز شریف', 'سینیٹ', 'کرونا وائرس', 'سپریم کورٹ', 'پاکستان', 'اسلام آباد', 'وزیر اطلاعات', 'حملہ', 'کرپشن', 'دھمکی']"
49,برطانیہ میں مظاہرین کا تھانے پر حملہ، 20 پولیس اہلکار زخمی ,"['پولیس', 'برطانیہ', 'سوئی گیس', 'حملہ', 'احتجاج', 'زخمی']"
50,تشدد میں کمی: افغان طالبان کا پلان امریکا کو پیش کرنے کا اعتراف,"['امریکہ', 'افغانستان', 'مائیک پومپیو', 'طالبان', 'وزیر دفاع']"
51,ٹیسٹ کرکٹر اظہر علی کی والدہ انتقال کر گئیں,"['پی سی بی', 'کار', 'نقصان', 'کرکٹ', 'پاکستان کرکٹ بورڈ', 'پاکستان', 'ٹوئٹر', 'کرونا وائرس', 'ریاض']"
52,شرجیل خان کو فٹنس میں بہتری کیلئے 9 اپریل کی ڈیڈ لائن ,"['افریقہ', 'پاکستان', 'ٹی ٹونٹی', 'لاہور']"
53,ٓپی ڈی ایم کا قیام بلاول کا وژن،پیپلزپارٹی نے استعفے دینے نہیں لینے ہیں،سینیٹر روبینہ خالد,"['جمہوریت', 'پیپلز پارٹی', 'بجلی', 'ووٹ', 'الیکشن', 'ایم کے', 'اسمبلی', 'مہنگائی', 'بلاول بھٹو زرداری', 'لانگ مارچ', 'عام انتخابات 2018', 'قومی اسمبلی', 'یوسف رضا گیلانی', 'پاکستان', 'پشاور']"
54,لائیوسٹاک کی ترقی کیلئے نئی پالیسی مرتب کرلی ،محمد طیب,"['بجٹ', 'قلت', 'بنگلہ دیش', 'بلوچستان', 'چوہدری پرویز الٰہی', 'اقوام متحدہ', 'ڈاکٹر', 'پاکستان']"
55,کراچی، آفیسرویلفیئر ایسوسی ایشن وفاقی اردویونیورسٹی کی جنرل باڈی کااجلاس,"['الیکشن', 'کراچی', 'ڈاکٹر', 'عام انتخابات 2018', 'رمضان المبارک']"
56,کوئٹہ، شکیلہ نوید قاضی کا گلوبل ایجوکیشن پروجیکٹ کی خواتین ٹیچرزپرتشدد کی شدیدمذمت ,"['اسمبلی', 'بلوچستان', 'کوئٹہ', 'احتجاج', 'بارشیں']"
