,headlines,categories
60,علی گیلانی سے متعلق ویڈیو ، الیکشن کمیشن کا نوٹس ،ویڈیو کی میرٹ پر تحقیقات ہوگی,"['علی حیدر گیلانی', 'الیکشن', 'سینیٹ', 'ووٹ', 'یوسف رضا گیلانی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'حفیظ شیخ', 'وزیراعظم', 'سید علی شاہ گیلانی', 'پاکستان تحریک انصاف', 'پاکستان']"
61,وزیراعلیٰ پنجاب کی چیئرمین سینٹ سے ملاقات ، مختلف امورپر غور ,"['عثمان بزدار', 'پنجاب', 'سینیٹ']"
62,پشاورپولیس نے (کل) ہونے والے سینیٹ انتخابات کے لئے سیکیورٹی پلان جاری کردیا,"['عام انتخابات 2018', 'پشاور', 'سینیٹ', 'پولیس']"
63,الیکشن کمیشن خیبر پختونخوا کی اراکین اسمبلی کیلئے ہدایات جاری ,"['الیکشن', 'اقلیت', 'اسمبلی', 'الیکشن کمیشن', 'علما', 'عام انتخابات 2018']"
64,29 مارچ شروع ہونے والی 5 روزہ این آئی ڈی پولیو مہم کے حوالے سے ضلعی انسداد پولیو کمیٹی میٹنگ کا انعقاد ,"['پولیو', 'ڈاکٹر', 'پولیس', 'موبائل', 'بلدیاتی انتخابات']"
65,دشمن کی افراتفری پیدا کرنے کی ہرکوششیں ناکام بنائیں گے، جنرل قمرجاوید باجوہ ,"['آئی ایس پی آر', 'جنوبی وزیرستان', 'افغانستان', 'جنرل قمر جاوید باجوہ', 'آرمی چیف', 'فوج', 'پاکستان']"
66,پیف پارٹنرز کے مسائل کے حل کے لیے پیف ہیڈ آفس میں فرنٹ ڈیسک کے قیام کا فیصلہ,['پنجاب']
67,تمام انتخاب خفیہ رائے شماری سے ہوتے ہیں، خاتمے کیلئے آئین مین ترمیم کرنا ہو گی، یوسف رضا گیلانی ,"['میرا', 'پیپلز پارٹی', 'قومی اسمبلی', 'ووٹ', 'بلاول بھٹو زرداری', 'سندھ', 'آصف علی زرداری', 'اسمبلی', 'یوسف رضا گیلانی', 'وزیراعظم', 'جمہوریت', 'حملہ', 'پاکستان']"
68,چیئرمین نیب جسٹس جاوید اقبال کی زیرصدارت نیب کراچی کی کارکردگی سے متعلق جائزہ اجلاس، مختلف امورپرغور ,"['کراچی', 'چیئرمین نیب', 'عدالت']"
69,سینیٹر مشتاق احمد سینیٹ انتخابات میں خریدوفروخت کے تحقیقات کیلئے بنائی گئی تحقیقاتی کمیٹی میں پیش ,"['اقلیت', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'سینیٹ', 'جماعت اسلامی', 'پانی', 'ریکارڈ', 'ووٹ', 'اے این پی', 'صوبائی اسمبلی', 'وزیراعظم', 'خیبرپختونخوا', 'پرویز خٹک', 'میرا', 'الیکشن', 'عدالت', 'مسلم لیگ (ن)', 'سپریم کورٹ', 'دوہری شہریت', 'پانامہ کا ہنگامہ', 'حاصل خان بزنجو', 'چیف جسٹس']"
70,رواں مالی سال کے جولائی فروری کے دوران گزشتہ مالی سال کے اسی عرصے کے مقابلے میں 2.085 ارب ڈالر کا اضافہ,['ڈالر']
71,سی ڈی اے نے ملپور کے جنگل میں 350 ایکڑ رقبے پر11کروڑ 64 لاکھ روپے سے بننے والے ماڈل پارک کی منظوری دے دی,"['سی ڈی اے', 'بارشیں', 'پانی']"
