,headlines,categories,time
43,کراچی، خاتون اور لڑکے کی لاشیں ملنے کا واقعہ، پولیس نے مقدمہ درج کرلیا,"['پولیس', 'قتل']",2021-03-09T22:16:44+0500
44,کراچی،کورنگی انڈسٹریل ایریا میں منشیات کے کیس میں گرفتار ملزم دوران حراست مبینہ طبیعت خراب ہونے سے چل بسا,"['علاج', 'ریکارڈ', 'منشیات', 'پولیس', 'محمد علی جناح', 'تھانہ']",2021-03-09T22:16:44+0500
45,کراچی ،فیروز آباد پولیس نے بلڈر ز سے بھتہ وصول کرنیو الے سابق کسٹم افسر کو گرفتارکرلیا ,"['کراچی', 'پولیس', 'دھمکی', 'متحدہ قومی موومنٹ']",2021-03-09T22:16:44+0500
46,کراچی،وکالت کے پیشے کو بدنا م کرنے والے ملزم کوگرفتارکرلیا گیا ,"['کراچی', 'پولیس', 'بلوچستان', 'کار', 'جیل', 'گاڑی']",2021-03-09T22:16:44+0500
47,کراچی،موٹر سائیکل سوار ملزمان کی سندھ سالڈ ویسٹ مینجمنٹ بورڈکی گاڑی پر فائرنگ، چینی باشندے سمیت 2 افراد زخمی,"['شیشہ', 'لیاری', 'پولیس', 'ریاض', 'حملہ', 'فائرنگ', 'سندھ', 'زخمی', 'گاڑی']",2021-03-09T22:16:44+0500
48,کراچی، اسٹریٹ کرائم کی روک تھام کیلئے رہائشیوں کے اہم اقدام,"['لاہور', 'کراچی', 'پولیس', 'دنیا', 'سندھ', 'ریاض']",2021-03-09T22:12:51+0500
49,سندھ پولیس اور قانون میرا محافظ ہے کہ اشتراک سے خواتین کا عالمی دن برائے سال 2021 انعقاد ,"['وزیر قانون', 'سوشل میڈیا', 'پولیس', 'میرا', 'ڈاکٹر', 'کار', 'تھانہ', 'سندھ']",2021-03-09T22:12:51+0500
50,بینک الفلاح نیشنل اوپن پولو چمپئن شپ برائے قائداعظم گولڈ کپ کے دوسرے دن تین میچز کھیلے گئے ,"['قائداعظم', 'لاہور', 'پاکستان', 'کھیل', 'پولو']",2021-03-09T21:57:05+0500
51,پارکنگ کے مسائل موجودہیں، ان کو ہنگامی بنیادوں پر حل کرنا ناگزیر ہے‘ کمشنر لاہو,"['این او سی', 'کمپنی', 'لاہور', 'پولیس', 'کار', 'ٹریفک']",2021-03-09T21:57:05+0500
52,نوشہرہ، دو کمسن بچوں کے ساتھ جنسی درندگی پولیس کی کامیاب کاروائی، دونوں سفاک جنسی درند ے گرفتار ,"['تھانہ', 'عدالت', 'پولیس']",2021-03-09T21:57:05+0500
